type,object,confidence,timestamp,status
object_detection,person,0.8095705509185791,2025-04-06 15:11:20,new
object_detection,person,0.8372233510017395,2025-04-06 15:11:32,new
object_detection,person,0.8536165952682495,2025-04-06 15:11:33,new
object_detection,person,0.8606656193733215,2025-04-06 15:11:33,new
object_detection,person,0.8248375654220581,2025-04-06 15:11:33,new
object_detection,person,0.8637182712554932,2025-04-06 15:11:35,new
object_detection,person,0.9088547825813293,2025-04-06 15:11:36,new
object_detection,person,0.7958799600601196,2025-04-06 15:11:36,new
object_detection,person,0.7196145057678223,2025-04-06 15:11:36,new
object_detection,person,0.6971348524093628,2025-04-06 15:11:36,new
object_detection,person,0.7237915396690369,2025-04-06 15:11:36,new
object_detection,person,0.6789093613624573,2025-04-06 15:11:36,new
object_detection,person,0.708415687084198,2025-04-06 15:11:36,new
object_detection,person,0.760349452495575,2025-04-06 15:11:37,new
object_detection,person,0.7646158337593079,2025-04-06 15:11:37,new
object_detection,person,0.7226668000221252,2025-04-06 15:11:37,new
object_detection,person,0.6551453471183777,2025-04-06 15:11:37,new
object_detection,person,0.6687628030776978,2025-04-06 15:11:37,new
object_detection,person,0.8040945529937744,2025-04-06 15:11:37,new
object_detection,person,0.8032722473144531,2025-04-06 15:11:37,new
object_detection,person,0.7980678677558899,2025-04-06 15:11:38,new
object_detection,person,0.8452345728874207,2025-04-06 15:11:38,new
object_detection,person,0.8648952841758728,2025-04-06 15:11:40,new
object_detection,person,0.8016277551651001,2025-04-06 15:11:40,new
object_detection,person,0.7858945727348328,2025-04-06 15:11:40,new
object_detection,person,0.7323480844497681,2025-04-06 15:11:40,new
object_detection,person,0.5903760194778442,2025-04-06 15:11:41,new
object_detection,person,0.7903985977172852,2025-04-06 15:11:41,new
object_detection,person,0.7564681768417358,2025-04-06 15:11:41,new
object_detection,person,0.748075008392334,2025-04-06 15:11:41,new
object_detection,person,0.7882707715034485,2025-04-06 15:11:41,new
object_detection,person,0.6821944117546082,2025-04-06 15:11:41,new
object_detection,person,0.8121421337127686,2025-04-06 15:11:41,new
object_detection,person,0.8782346248626709,2025-04-06 15:11:45,new
object_detection,person,0.8579287528991699,2025-04-06 15:11:45,new
object_detection,person,0.8515788912773132,2025-04-06 15:11:45,new
object_detection,person,0.8653433322906494,2025-04-06 15:11:45,new
object_detection,person,0.8104071021080017,2025-04-06 15:11:46,new
object_detection,person,0.8470097184181213,2025-04-06 15:11:46,new
object_detection,person,0.9038631916046143,2025-04-06 15:11:46,new
object_detection,person,0.8963900208473206,2025-04-06 15:11:46,new
object_detection,person,0.8700377941131592,2025-04-06 15:11:46,new
object_detection,person,0.836556613445282,2025-04-06 15:11:46,new
object_detection,person,0.8340345025062561,2025-04-06 15:11:46,new
object_detection,person,0.7773658037185669,2025-04-06 15:11:46,new
object_detection,person,0.7594102621078491,2025-04-06 15:11:47,new
object_detection,person,0.7903163433074951,2025-04-06 15:11:47,new
object_detection,person,0.7882638573646545,2025-04-06 15:11:47,new
object_detection,person,0.6172342896461487,2025-04-06 15:11:47,new
object_detection,person,0.6374936699867249,2025-04-06 15:11:47,new
object_detection,person,0.6657320857048035,2025-04-06 15:11:47,new
object_detection,person,0.9166342616081238,2025-04-06 15:11:48,new
object_detection,person,0.8544169068336487,2025-04-06 15:11:50,new
